position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
8,Real Madrid,30,11.470588235294116,7.0588235294117645,11.470588235294116,0.048,0.038,0.010000000000000002,33.33333333333333,1973-74
9,Español,30,11.470588235294116,7.0588235294117645,11.470588235294116,0.034,0.038,-0.003999999999999997,33.33333333333333,1973-74
10,Valencia,30,11.470588235294116,6.1764705882352935,12.352941176470587,0.041,0.033,0.008,32.35294117647059,1973-74
11,Las Palmas,30,12.352941176470587,4.411764705882353,13.235294117647058,0.028,0.035,-0.007000000000000003,32.35294117647059,1973-74
12,Celta,30,10.588235294117649,5.294117647058824,14.117647058823529,0.043,0.049,-0.006000000000000005,29.411764705882355,1973-74
13,Sporting Gijón,30,11.470588235294116,3.5294117647058822,15.0,0.049,0.059,-0.009999999999999995,29.411764705882355,1973-74
14,Elche,30,9.705882352941178,6.1764705882352935,14.117647058823529,0.025,0.033,-0.008,28.431372549019606,1973-74
15,Murcia,30,8.823529411764707,7.9411764705882355,13.235294117647058,0.027,0.037,-0.009999999999999998,28.431372549019606,1973-74
16,Castellón,30,7.9411764705882355,9.705882352941178,12.352941176470587,0.028,0.046,-0.018,28.431372549019606,1973-74
17,Oviedo,30,7.0588235294117645,9.705882352941178,13.235294117647058,0.036,0.054,-0.018000000000000002,26.47058823529412,1973-74
18,Racing Santander,30,7.9411764705882355,5.294117647058824,16.764705882352942,0.029,0.052,-0.022999999999999996,23.52941176470588,1973-74
1,Real Madrid,30,17.647058823529413,8.823529411764707,3.5294117647058822,0.066,0.034,0.032,49.01960784313725,1974-75
2,Zaragoza,30,13.235294117647058,7.0588235294117645,9.705882352941178,0.058,0.047,0.011000000000000003,37.254901960784316,1974-75
3,Barcelona,30,13.235294117647058,6.1764705882352935,10.588235294117649,0.057,0.036,0.021000000000000005,36.27450980392157,1974-75
4,Real Sociedad,30,10.588235294117649,10.588235294117649,8.823529411764707,0.037,0.032,0.0049999999999999975,35.294117647058826,1974-75
5,Hércules,30,9.705882352941178,12.352941176470587,7.9411764705882355,0.037,0.036,0.0010000000000000009,35.294117647058826,1974-75
6,Atlético Madrid,30,9.705882352941178,11.470588235294116,8.823529411764707,0.046,0.034,0.011999999999999997,34.31372549019608,1974-75
7,Salamanca,30,8.823529411764707,13.235294117647058,7.9411764705882355,0.033,0.029,0.004,34.31372549019608,1974-75
8,Elche,30,11.470588235294116,7.0588235294117645,11.470588235294116,0.035,0.044,-0.008999999999999994,33.33333333333333,1974-75
9,Real Betis,30,12.352941176470587,5.294117647058824,12.352941176470587,0.035,0.041,-0.005999999999999998,33.33333333333333,1974-75
