Home,Away,Score
SD Huesca,CA Osasuna,0–0
SD Huesca,Real Betis,0–2
SD Huesca,Real Madrid CF,1–2
SD Huesca,Real Sociedad,1–0
SD Huesca,Sevilla FC,0–1
SD Huesca,Valencia CF,0–0
SD Huesca,Real Valladolid,2–2
SD Huesca,Villarreal CF,0–0
Levante UD,Deportivo Alavés,1–1
Levante UD,Athletic Bilbao,1–1
Levante UD,Atlético Madrid,1–1
Levante UD,FC Barcelona,3–3
Levante UD,Cádiz CF,2–2
Levante UD,RC Celta de Vigo,1–1
Levante UD,SD Eibar,2–1
Levante UD,Elche CF,1–1
Levante UD,Getafe CF,3–0
Levante UD,Granada CF,2–2
Levante UD,SD Huesca,0–2
Levante UD,CA Osasuna,0–1
Levante UD,Real Betis,4–3
Levante UD,Real Madrid CF,0–2
Levante UD,Real Sociedad,2–1
Levante UD,Sevilla FC,0–1
Levante UD,Valencia CF,1–0
Levante UD,Real Valladolid,2–2
Levante UD,Villarreal CF,1–5
CA Osasuna,Deportivo Alavés,1–1
CA Osasuna,Athletic Bilbao,1–0
CA Osasuna,Atlético Madrid,1–3
CA Osasuna,FC Barcelona,0–2
CA Osasuna,Cádiz CF,3–2
CA Osasuna,RC Celta de Vigo,2–0
CA Osasuna,SD Eibar,2–1
CA Osasuna,Elche CF,2–0
CA Osasuna,Getafe CF,0–0
CA Osasuna,Granada CF,3–1
CA Osasuna,SD Huesca,1–1
CA Osasuna,Levante UD,1–3
CA Osasuna,Real Betis,0–2
CA Osasuna,Real Madrid CF,0–0
CA Osasuna,Real Sociedad,0–1
CA Osasuna,Sevilla FC,0–2
CA Osasuna,Valencia CF,3–1
CA Osasuna,Real Valladolid,0–0
CA Osasuna,Villarreal CF,1–3
Real Betis,Deportivo Alavés,3–2
Real Betis,Athletic Bilbao,0–0
Real Betis,Atlético Madrid,1–1
Real Betis,FC Barcelona,2–3
Real Betis,Cádiz CF,1–0
Real Betis,RC Celta de Vigo,2–1
Real Betis,SD Eibar,0–2
Real Betis,Elche CF,3–1
Real Betis,Getafe CF,1–0
Real Betis,Granada CF,2–1
Real Betis,SD Huesca,1–0
Real Betis,Levante UD,2–0
Real Betis,CA Osasuna,1–0
Real Betis,Real Madrid CF,2–3
Real Betis,Real Sociedad,0–3
Real Betis,Sevilla FC,1–1
Real Betis,Valencia CF,2–2
Real Betis,Real Valladolid,2–0
Real Betis,Villarreal CF,1–1
Real Madrid CF,Deportivo Alavés,1–2
Real Madrid CF,Athletic Bilbao,3–1
Real Madrid CF,Atlético Madrid,2–0
Real Madrid CF,FC Barcelona,2–1
Real Madrid CF,Cádiz CF,0–1
Real Madrid CF,RC Celta de Vigo,2–0
Real Madrid CF,SD Eibar,2–0
Real Madrid CF,Elche CF,2–1
Real Madrid CF,Getafe CF,2–0
Real Madrid CF,Granada CF,2–0
Real Madrid CF,SD Huesca,4–1
Real Madrid CF,Levante UD,1–2
Real Madrid CF,CA Osasuna,2–0
Real Madrid CF,Real Betis,0–0
Real Madrid CF,Real Sociedad,1–1
Real Madrid CF,Sevilla FC,2–2
Real Madrid CF,Valencia CF,2–0
Real Madrid CF,Real Valladolid,1–0
Real Madrid CF,Villarreal CF,2–1
Real Sociedad,Deportivo Alavés,4–0
Real Sociedad,Athletic Bilbao,1–1
Real Sociedad,Atlético Madrid,0–2
Real Sociedad,FC Barcelona,1–6
Real Sociedad,Cádiz CF,4–1
Real Sociedad,RC Celta de Vigo,2–1
Real Sociedad,SD Eibar,1–1
Real Sociedad,Elche CF,2–0
Real Sociedad,Getafe CF,3–0
Real Sociedad,Granada CF,2–0
Real Sociedad,SD Huesca,4–1
Real Sociedad,Levante UD,1–0
Real Sociedad,CA Osasuna,1–1
Real Sociedad,Real Betis,2–2
Real Sociedad,Real Madrid CF,0–0
